field,base_field,elasticsearch_type,category,human_name_en,meaning_en,unit_or_value_hint,preferred_esql_field,agent_notes,confidence
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorSlagVolumen,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorSlagVolumen,float,Engine and drivetrain,Engine displacement,"Engine displacement, normally in cubic centimetres/ccm.",ccm / cm³,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorSlagVolumen,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorSlagVolumenIkkeTilgaengelig,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorSlagVolumenIkkeTilgaengelig,boolean,Engine and drivetrain,Engine displacement unavailable flag,Boolean indicating whether engine displacement is unavailable.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorSlagVolumenIkkeTilgaengelig,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStandStoej,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStandStoej,float,Engine and drivetrain,Stationary noise,"Stationary noise level value, commonly in dB(A), but verify source unit.",likely dB(A); verify,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStandStoej,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStandStoejOmdrejningstal,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStandStoejOmdrejningstal,long,Engine and drivetrain,Stationary noise RPM,Engine speed in RPM used for stationary noise measurement.,rpm,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStandStoejOmdrejningstal,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStoersteEffekt,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStoersteEffekt,float,Engine and drivetrain,Maximum engine power,"Maximum engine/motor power, normally in kW.",kW,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStoersteEffekt,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStoersteEffektIkkeTilgaengelig,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStoersteEffektIkkeTilgaengelig,boolean,Engine and drivetrain,Maximum power unavailable flag,Boolean indicating whether the maximum power value is unavailable.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejMotorStoersteEffektIkkeTilgaengelig,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur,object,"Fuel, propulsion and energy consumption",Vehicle Fuel Collection Structure,"Container object for fuel, propulsion and energy consumption fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling,object,"Fuel, propulsion and energy consumption",Vehicle Fuel Collection,"Container object for fuel, propulsion and energy consumption fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur,object,"Fuel, propulsion and energy consumption",Fuel Structure,"Container object for fuel, propulsion and energy consumption fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur,object,"Fuel, propulsion and energy consumption",Propulsion/Fuel Type Structure,"Container object for fuel, propulsion and energy consumption fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNavn,text,"Fuel, propulsion and energy consumption",Fuel / propulsion type name,"Name of the fuel or propulsion type, such as Benzin, Diesel, El, Plug-in hybrid, Brint, etc.",,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNavn.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNavn,keyword,"Fuel, propulsion and energy consumption",Fuel / propulsion type name (keyword),"Keyword/exact-match representation of fuel / propulsion type name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNummer,long,"Fuel, propulsion and energy consumption",Fuel / propulsion type code,Numeric code for the fuel or propulsion type.,,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.DrivkraftTypeStruktur.DrivkraftTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur,object,"Fuel, propulsion and energy consumption",Vehicle Fuel Structure,"Container object for fuel, propulsion and energy consumption fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur.KoeretoejMotorKmPerLiter,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur.KoeretoejMotorKmPerLiter,float,"Fuel, propulsion and energy consumption",Fuel economy km/l,Fuel economy in kilometres per litre for the fuel entry.,km/l,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur.KoeretoejMotorKmPerLiter,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejElforbrugStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejElforbrugStruktur,object,"Fuel, propulsion and energy consumption",Vehicle Elforbrug Structure,"Container object for fuel, propulsion and energy consumption fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejElforbrugStruktur.KoeretoejMotorElektriskForbrug,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejElforbrugStruktur.KoeretoejMotorElektriskForbrug,float,"Fuel, propulsion and energy consumption",Electric energy consumption,"Registered electric energy consumption per distance. Unit depends on source/measurement norm, often Wh/km or kWh/100 km in external presentations.",,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejElforbrugStruktur.KoeretoejMotorElektriskForbrug,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejMotorBraendselscelle,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejMotorBraendselscelle,boolean,"Fuel, propulsion and energy consumption",Fuel-cell vehicle flag,Boolean indicating whether the fuel/propulsion entry relates to a fuel cell.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejMotorBraendselscelle,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejMotorDrivmiddelPrimaer,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejMotorDrivmiddelPrimaer,boolean,"Fuel, propulsion and energy consumption",Primary fuel flag,Boolean indicating whether this fuel/propulsion entry is the primary fuel.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejMotorDrivmiddelPrimaer,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur,object,"Fuel, propulsion and energy consumption",Measurement Norm/standard Structure,"Container object for fuel, propulsion and energy consumption fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur,object,Emissions and environmental data,Vehicle Environmental Information Structure,"Container object for emissions and environmental data fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur,object,Emissions and environmental data,C 2 Emission Klasse Structure,"Container object for emissions and environmental data fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",often g/km; verify,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur.CO2EmissionKlasseNavn,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur.CO2EmissionKlasseNavn,long,Emissions and environmental data,CO2 emission class name/code,"CO2 emission class value/name. In this index it is mapped as numeric, so treat it as a class code unless sample data proves otherwise.",often g/km; verify,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur.CO2EmissionKlasseNavn,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur.CO2EmissionKlasseNummer,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur.CO2EmissionKlasseNummer,long,Emissions and environmental data,CO2 emission class number,Numeric CO2 emission class.,often g/km; verify,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.CO2EmissionKlasseStruktur.CO2EmissionKlasseNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningCO2EmissionKlasseOmklassificeringDato,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningCO2EmissionKlasseOmklassificeringDato,text,Emissions and environmental data,CO2 class reclassification date,"Date when the CO2 emission class was reclassified. In this index it is text/keyword, so parse carefully if used as a date.",often g/km; verify,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningCO2EmissionKlasseOmklassificeringDato.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningCO2EmissionKlasseOmklassificeringDato.keyword`. Mapped as text/keyword; parse/cast carefully before date math.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningCO2EmissionKlasseOmklassificeringDato.keyword,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningCO2EmissionKlasseOmklassificeringDato,keyword,Emissions and environmental data,CO2 class reclassification date (keyword),"Keyword/exact-match representation of co2 class reclassification date. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",often g/km; verify,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningCO2EmissionKlasseOmklassificeringDato.keyword,Use for terms/grouping/exact matching. Mapped as text/keyword; parse/cast carefully before date math.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionCO,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionCO,float,Emissions and environmental data,CO emission,Registered carbon monoxide emission value. Unit depends on source/measurement norm.,,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionCO,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionHCPlusNOX,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionHCPlusNOX,float,Emissions and environmental data,HC + NOx emission,Combined hydrocarbons plus nitrogen oxides emission value.,,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionHCPlusNOX,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionNOX,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionNOX,float,Emissions and environmental data,NOx emission,Registered nitrogen oxides emission value. Unit depends on the underlying DMR source/measurement norm.,,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningEmissionNOX,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningNyttelastvaerdi,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningNyttelastvaerdi,float,Emissions and environmental data,Payload value,"Registered payload value, normally for goods vehicles/trailers; verify unit before calculations.",,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningNyttelastvaerdi,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningPartikelFilter,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningPartikelFilter,boolean,Emissions and environmental data,Particulate filter flag,Boolean indicating whether a particulate filter is registered as fitted.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningPartikelFilter,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningPartikler,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningPartikler,float,Emissions and environmental data,Particle emissions,Registered particulate emission value.,,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningPartikler,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningRoegtaethed,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningRoegtaethed,float,Emissions and environmental data,Smoke opacity,Smoke opacity value from emissions/inspection-related registration. Usually relevant for diesel vehicles.,,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningRoegtaethed,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningRoegtaethedOmdrejningstal,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningRoegtaethedOmdrejningstal,long,Emissions and environmental data,Smoke opacity test RPM,Engine speed in revolutions per minute used when smoke opacity was measured.,rpm,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningRoegtaethedOmdrejningstal,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningSpecifikCO2Emission,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningSpecifikCO2Emission,float,Emissions and environmental data,Specific CO2 emission,"Specific CO2 emission value, usually grams per kilometre for relevant vehicle classes.",often g/km; verify,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningSpecifikCO2Emission,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningTungtNulEmissionKoeretoej,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningTungtNulEmissionKoeretoej,boolean,Emissions and environmental data,Heavy zero-emission vehicle flag,Boolean indicating whether a heavy vehicle is registered as zero-emission.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejMiljoeOplysningStruktur.KoeretoejMiljoeOplysningTungtNulEmissionKoeretoej,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur.KoeretoejMiljoeOplysningCO2Udslip,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur.KoeretoejMiljoeOplysningCO2Udslip,float,Emissions and environmental data,CO2 emission,CO2 emission value from the fuel/emissions structure.,often g/km; verify,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.KoeretoejBraendstofStruktur.KoeretoejMiljoeOplysningCO2Udslip,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNavn,text,Emissions and environmental data,Engine measurement norm name,Name of the measurement/emissions/fuel-consumption norm.,,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNavn.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNavn,keyword,Emissions and environmental data,Engine measurement norm name (keyword),"Keyword/exact-match representation of engine measurement norm name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNavn.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNummer,long,Emissions and environmental data,Engine measurement norm code,Numeric code for the measurement/emissions/fuel-consumption norm.,,KoeretoejOplysningGrundStruktur.KoeretoejMotorStruktur.KoeretoejDrivmiddelSamlingStruktur.KoeretoejDrivmiddelSamling.DrivmiddelStruktur.MaaleNormStruktur.KoeretoejMotorMaaleNormTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur,object,Emissions and environmental data,Vehicle Norm/standard Structure,"Container object for emissions and environmental data fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur,object,Emissions and environmental data,Norm/standard Type Structure,"Container object for emissions and environmental data fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNavn,text,Emissions and environmental data,Environmental norm name,"Vehicle environmental norm/emissions standard, such as Euro norm/class.",,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNavn.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNavn,keyword,Emissions and environmental data,Environmental norm name (keyword),"Keyword/exact-match representation of environmental norm name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNummer,long,Emissions and environmental data,Environmental norm code,Numeric code for the vehicle environmental norm/emissions standard.,,KoeretoejOplysningGrundStruktur.KoeretoejNormStruktur.NormTypeStruktur.NormTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningOevrigtUdstyr,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOevrigtUdstyr,text,Equipment,Other equipment,Free-text description of other equipment not represented by structured equipment codes.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOevrigtUdstyr.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningOevrigtUdstyr.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningOevrigtUdstyr.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOevrigtUdstyr,keyword,Equipment,Other equipment (keyword),"Keyword/exact-match representation of other equipment. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOevrigtUdstyr.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur,object,Equipment,Vehicle Equipment Collection Structure,"Container object for equipment fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
